conjugated,infinitive
trended,trend
defecating,defecate
fueled,fuel
flouted,flout
descried,descry
exterminates,exterminate
preying,prey
tickles,tickle
woken,wake
oversewed,oversew
abraded,abrade
gaited,gait
bickered,bicker
overdoing,overdo
thorned,thorn
fuses,fuse
undergrew,undergrow
fitted,fit
sainted,saint
tells,tell
stings,sting
drank,drink
institutionalizing,institutionalize
emigrates,emigrate
candied,candy
hustling,hustle
trouncing,trounce
sets,set
quethe,queath
masqueraded,masquerade
resigning,resign
frostbitten,frostbite
slain,slay
shivered,shiver
despising,despise
standen,stand
journals,journal
unclothes,unclothe
disappoints,disappoint
delousing,delouse
zincked,zinc
kraaled,kraal
spreading,spread
susurrating,susurrate
partaking,partake
regularising,regularise
underachieved,underachieve
shoes,shoe
glosses,gloss
was,be
ionizes,ionize
forms,form
withstands,withstand
leet,let
shearing,shear
besaw,besee
foreknowing,foreknow
gaits,gait
spilled,spill
surplussing,surplus
dehumanized,dehumanize
clapped,clap
skiing,ski
misspelling,misspell
isolates,isolate
overcoming,overcome
shaving,shave
extorts,extort
misshaped,misshape
forsakes,forsake
underpaying,underpay
obtruding,obtrude
masquerades,masquerade
shone,shine
underdressing,underdress
smit,smite
trafficked,traffic
shrunk,shrink
disjoined,disjoin
rereading,reread
larked,lark
punishes,punish
losing,lose
encapsulated,encapsulate
digressed,digress
hounding,hound
unclothed,unclothe
barricadoes,barricado
besought,beseech
foredates,foredate
retrodden,retread
overdriven,overdrive
boos,boo
picturing,picture
bidden,bid
lays,lay
forbore,forbear
niched,niche
colligates,colligate
hitting,hit
proofreads,proofread
adzing,adze
overflies,overfly
reflexes,reflex
lighters,lighter
journalled,journal
bereft,bereave
shrove,shrive
despairing,despair
had,have
overspilled,overspill
apportioning,apportion
encrimsoned,encrimson
dissembling,dissemble
kneeling,kneel
bemires,bemire
whirring,whir
commiserated,commiserate
stolen,steal
overdrove,overdrive
psyches,psych
reexplaining,reexplain
throve,thrive
sinters,sinter
panicked,panic
chancing,chance
brittling,brittle
resettles,resettle
operating,operate
winning,win
disjoins,disjoin
ravages,ravage
redraws,redraw
bought,buy
wetted,wet
befalls,befall
sheared,shear
achromatises,achromatise
forswears,forswear
swung,swing
chastises,chastise
misunderstanding,misunderstand
rumbled,rumble
sinking,sink
clicking,click
uplifting,uplift
archived,archive
ridding,rid
bogieing,bogie
resells,resell
misgiven,misgive
outselling,outsell
shat,shite
understands,understand
hostaged,hostage
croquets,croquet
teared,tear
thirsting,thirst
riven,rive
broadcasts,broadcast
miskept,miskeep
staid,stay
pipelining,pipeline
dug,dig
rewriting,rewrite
acceding,accede
shoed,shoe
overgrows,overgrow
rended,rend
retelling,retell
misstated,misstate
growing,grow
writhing,writhe
argued,argue
durst,dare
refocused,refocus
slipped,slip
woven,weave
drawn,draw
baulked,baulk
costing,cost
shears,shear
inbred,inbreed
trammelled,trammel
bringing,bring
gussets,gusset
shopped,shop
seeking,seek
leaping,leap
vinifies,vinify
gargles,gargle
retreads,retread
cascading,cascade
stripped,strip
oversewn,oversew
vexes,vex
alit,alight
dappled,dapple
outlines,outline
eating,eat
clothed,clothe
interweaved,interweave
cleaves,cleave
restricted,restrict
might,may
quieting,quiet
exteriorizes,exteriorize
sneaks,sneak
forsook,forsake
absolving,absolve
stinks,stink
bets,bet
shaped,shape
disappointing,disappoint
dressing,dress
rephrased,rephrase
frozen,freeze
drizzled,drizzle
wreaking,wreak
argues,argue
quethen,queath
thrones,throne
browbeating,browbeat
photosensitizes,photosensitize
wound,wind
foregrounds,foreground
hosting,host
flickers,flicker
counterchanged,counterchange
hostages,hostage
snapping,snap
oystered,oyster
learned,learn
overslipt,overslip
strips,strip
busts,bust
rumpled,rumple
rebuilt,rebuild
overshook,overshake
devitalizes,devitalize
restricts,restrict
misdid,misdo
insures,insure
dreamed,dream
horselaughed,horselaugh
endangers,endanger
misdiagnoses,misdiagnose
petrolling,petrol
encroaching,encroach
terrorizing,terrorize
wept,weep
streaking,streak
overwritten,overwrite
racketeered,racketeer
saints,saint
lashes,lash
herded,herd
disgraces,disgrace
misreads,misread
twinkles,twinkle
cans,can
misheard,mishear
spellbinds,spellbind
overlapping,overlap
slipt,slip
overhanging,overhang
subcontracting,subcontract
sticking,stick
behaving,behave
intriguing,intrigue
bloated,bloat
spelled,spell
lustred,lustre
wauling,waul
headquartered,headquarter
forsaken,forsake
liquored,liquor
rewound,rewind
etches,etch
tiered,tier
burned,burn
neighbors,neighbor
yeasted,yeast
croqueting,croquet
sticks,stick
explicates,explicate
aviating,aviate
sleeps,sleep
wauls,waul
refuged,refuge
outdoes,outdo
taken,take
landscapes,landscape
countersank,countersink
bursten,burst
fruited,fruit
slitting,slit
bickering,bicker
wrought,work
misspoken,misspeak
brandishing,brandish
rebating,rebate
dives,dive
burnishes,burnish
underbore,underbear
regrown,regrow
encapsulating,encapsulate
honks,honk
blown,blow
overate,overeat
spurning,spurn
arose,arise
overdrawing,overdraw
tiring,tire
wreaken,wreak
journalling,journal
bushelling,bushel
reintroduces,reintroduce
overdrest,overdress
overlaying,overlay
refreshens,refreshen
breadboarded,breadboard
exterminating,exterminate
buncos,bunco
seen,see
redone,redo
laden,lade
refreshened,refreshen
worths,worth
extorted,extort
rotates,rotate
befell,befall
panicking,panic
splits,split
shapes,shape
oysters,oyster
shrived,shrive
rang,ring
undergone,undergo
unbending,unbend
shitten,shite
lashed,lash
boldfaced,boldface
racketeers,racketeer
reflexing,reflex
going,go
mowed,mow
chauffeured,chauffeur
dares,dare
boughten,buy
reeducated,reeducate
upheld,uphold
begetting,beget
swimming,swim
reeducating,reeducate
wilt,will
refurnished,refurnish
depressurized,depressurize
strewn,strew
lopen,leap
sliding,slide
yclept,clepe
environing,environ
overshooting,overshoot
readding,read
sintering,sinter
luged,luge
warring,war
overriding,override
mousetrapped,mousetrap
overslid,overslide
buckling,buckle
foreseen,foresee
hackneys,hackney
melts,melt
forbade,forbid
insults,insult
overdressed,overdress
withholden,withhold
igniting,ignite
factored,factor
bereaves,bereave
hadst,have
horselaughs,horselaugh
swims,swim
divagates,divagate
outstayed,outstay
officiating,officiate
drags,drag
zincks,zinc
buncoing,bunco
undershooting,undershoot
intrigued,intrigue
lacquering,lacquer
unloads,unload
underfeeding,underfeed
knuckles,knuckle
wobbling,wobble
acidulated,acidulate
undoes,undo
disenables,disenable
span,spin
chelates,chelate
sings,sing
stang,sting
taking,take
countersunk,countersink
traffics,traffic
drizzling,drizzle
reprinting,reprint
demobbing,demob
uncapping,uncap
disarticulates,disarticulate
thatching,thatch
stinking,stink
prologizing,prologize
forecasting,forecast
relaid,relay
funking,funk
brittles,brittle
readjusts,readjust
prevaricated,prevaricate
corresponded,correspond
learning,learn
humanized,humanize
misspending,misspend
operated,operate
sang,sing
sits,sit
loans,loan
deloused,delouse
foughten,fight
detailed,detail
chords,chord
shrinking,shrink
throning,throne
bred,breed
behaved,behave
surtaxes,surtax
inputted,input
glooming,gloom
insetting,inset
loaning,loan
narks,nark
tearing,tear
imposted,impost
thatched,thatch
dove,dive
deracinating,deracinate
countered,counter
fractioning,fraction
flying,fly
handwriting,handwrite
sanctions,sanction
arterialized,arterialize
awakes,awake
clapping,clap
grown,grow
arguing,argue
hilting,hilt
renovated,renovate
lighting,light
relining,reline
shew,show
countersinking,countersink
spoken,speak
beating,beat
delimited,delimit
busting,bust
kent,ken
reading,read
evangelizes,evangelize
forewent,forego
beginning,begin
divagating,divagate
lacquered,lacquer
overrode,override
leaped,leap
contrasts,contrast
drew,draw
puts,put
manacling,manacle
refocussed,refocus
emceeing,emcee
unloaded,unload
presets,preset
speeding,speed
knuckled,knuckle
margining,margin
prognosticating,prognosticate
arises,arise
written,write
browsing,browse
overfed,overfeed
analysed,analyse
decentralises,decentralise
girt,gird
chamfers,chamfer
strikes,strike
bending,bend
filtering,filter
overbears,overbear
misshaping,misshape
shops,shop
told,tell
delimiting,delimit
built,build
rising,rise
fissured,fissure
setting,set
disarticulated,disarticulate
outrunning,outrun
drives,drive
herding,herd
dwelled,dwell
dueled,duel
cutting,cut
contrasting,contrast
miskent,misken
prescribes,prescribe
predicts,predict
overridden,override
overhung,overhang
cannibalized,cannibalize
bushels,bushel
hiccoughing,hiccough
freezes,freeze
shriven,shrive
twisting,twist
bent,bend
leaned,lean
burns,burn
booing,boo
subletting,sublet
unyokes,unyoke
forgiven,forgive
terrorizes,terrorize
forbears,forbear
bushwhacks,bushwhack
shalt,shall
undertaken,undertake
undergirding,undergird
overtaking,overtake
befalling,befall
bushwhacking,bushwhack
complies,comply
notating,notate
drest,dress
counterchanges,counterchange
unlearned,unlearn
accustomed,accustom
unwound,unwind
proofreading,proofread
derates,derate
swoll,swell
surpluses,surplus
forspoke,forspeak
inlaying,inlay
undergoing,undergo
outgrowing,outgrow
resets,reset
fleeing,flee
clings,cling
accentuates,accentuate
smiting,smite
nauseates,nauseate
slobbers,slobber
would,will
interbred,interbreed
hits,hit
overcrowded,overcrowd
candies,candy
decentralizes,decentralize
kneeled,kneel
overspilt,overspill
rebooting,reboot
learnt,learn
sewn,sew
girding,gird
prepaying,prepay
axing,ax
lain,lie
nam,nim
dealing,deal
outsold,outsell
fissuring,fissure
koshers,kosher
inlays,inlay
hands,hand
smites,smite
undergot,underget
jolted,jolt
sambaing,samba
refurnishing,refurnish
headquarters,headquarter
trammels,trammel
hanging,hang
exuded,exude
overlies,overlie
lustres,lustre
brayed,bray
falling,fall
sways,sway
bloating,bloat
redid,redo
overspills,overspill
quantifying,quantify
befuddled,befuddle
misfed,misfeed
ate,eat
assents,assent
taught,teach
recasting,recast
outbids,outbid
