conjugated,infinitive
demobilizing,demobilize
worn,wear
hears,hear
hostaging,hostage
narks,nark
disgraces,disgrace
writ,write
brayed,bray
corresponded,correspond
birches,birch
refuged,refuge
sown,sow
dragging,drag
meaning,mean
vitiating,vitiate
instals,instal
forgets,forget
sweats,sweat
slobbers,slobber
twisted,twist
nictitating,nictitate
rebooting,reboot
deluding,delude
stuck,stick
overdone,overdo
quiets,quiet
feuded,feud
spoils,spoil
aviating,aviate
fueled,fuel
outshines,outshine
endangers,endanger
backdropped,backdrop
interred,inter
slew,slay
grounden,grind
misgot,misget
funks,funk
trounces,trounce
singing,sing
lading,lade
bringing,bring
breadboarded,breadboard
lit,light
striding,stride
diffracts,diffract
stunk,stink
demobilizes,demobilize
misspells,misspell
hilting,hilt
noticing,notice
overbids,overbid
dost,do
psyching,psych
sews,sew
misbore,misbear
phoning,phone
potted,pot
psychs,psych
ponds,pond
comminuted,comminute
spraining,sprain
speculating,speculate
weaving,weave
shown,show
thinks,think
tickled,tickle
catechizing,catechize
coiffes,coiffe
exacerbates,exacerbate
wearing,wear
bidding,bid
reeducating,reeducate
preyed,prey
refurnishing,refurnish
arising,arise
underbought,underbuy
fixed,fix
priding,pride
fraternizes,fraternize
readjusts,readjust
boos,boo
microfilmed,microfilm
humanized,humanize
beshone,beshine
spoiled,spoil
renovating,renovate
benomen,benim
busted,bust
redeployed,redeploy
unbent,unbend
spored,spore
choosing,choose
operates,operate
spits,spit
knuckling,knuckle
fibrillated,fibrillate
overbuys,overbuy
explicated,explicate
caulking,caulk
bogieing,bogie
shove,shave
forecasts,forecast
foretelling,foretell
outsworn,outswear
blessing,bless
insetted,inset
lashed,lash
shrived,shrive
marshalled,marshal
ravaging,ravage
colligated,colligate
ingeminating,ingeminate
leaped,leap
morseled,morsel
forsook,forsake
ordains,ordain
deputises,deputise
boomerangs,boomerang
slumping,slump
miswrote,miswrite
cleped,clepe
terrorizes,terrorize
sheared,shear
shot,shoot
drank,drink
besetting,beset
installing,instal
immigrating,immigrate
isolates,isolate
pistoling,pistol
thrusting,thrust
zincked,zinc
thrusts,thrust
cinematizing,cinematize
flinging,fling
outbids,outbid
overborne,overbear
lept,leap
odorizing,odorize
chastised,chastise
copes,cope
duelling,duel
mischose,mischoose
analysing,analyse
brandished,brandish
retells,retell
rankled,rankle
undersigned,undersign
