word1,word2
invade,inveighed
phew,few
choral,coral
cruise,crews
brays,braise
idle,idol
lea,li
bodies,body's
oar,ore
tool,tulle
bach,batch
chews,choose
whack,wax
fuse,fuze
borne,bourne
as,asse
heirs,airs
wale,whale
oars,ores
holey,wholly
tide,tied
bees,b's
sale,sail
fey,fay
rude,rood
bogie,bogy
florescence,fluorescence
toughed,tuft
whither,wither
vail,vale
wittier,Whittier
buy,bi
censor,sensor
May's,maize
leys,leas
stake,steak
right,wright
gild,guild
ire,eyer
ell,el
burgh,borough
ewe,u
ferry,fairy
tel,tell
new,knew
leis,laze
kill,chyle
cantor,canter
rites,wrights
steal,stele
pour,poor
lee,lea
aid,aide
annalist,analyst
groan,grown
subtler,sutler
queen,quean
braise,brays
ewe,you
oke,oak
resonate,resinate
muscat,musket
calendar,calender
loose,luce
courtesy,curtesy
peer,pier
fain,fane
sensor,senser
feeze,feaze
meat,mete
suns,sons
pupal,pupil
fizz,phiz
seer,cere
yawn,yon
victual,vittle
matt,matte
fees,feaze
yew,you
queues,cues
stock,stalk
heroin,heroine
foreword,forward
reseeding,receding
unreel,unreal
halves,haves
verst,versed
mien,mean
armor,armer
ton,tun
basil,basal
warred,ward
pyx,picks
sent,cent
boulder,bolder
oar,or
booze,boos
tot,taut
wise,whys
knew,gnu
counselor,councilor
ate,eight
seem,seam
seize,seas
bore,Boer
tighten,titan
waiving,waving
waler,whaler
toll,tole
aunt,ant
bowl,bole
thru,threw
wit,whit
but,butt
faun,fawn
nose,noes
hymn,him
read,rede
sex,sects
buries,berries
you,u
tees,t's
they're,there
sloe,slow
fain,feign
forego,forgo
pale,pail
foaled,fold
its,it's
q,cue
nave,knave
illicit,elicit
sun,sunn
wiled,wild
trussed,trust
grieve,greave
marten,martin
chilly,Chile
leys,lase
ayre,air
col,call
grown,groan
plantar,planter
cinque,sink
vale,veil
wears,where's
their,there
cocoa,coco
trouper,trooper
pouffe,poof
ware,where
variance,variants
site,sight
he'll,heel
flour,flower
winings,whinings
are,r
rood,rued
hoes,hose
peke,pique
inductance,inductants
great,grate
lees,leas
sea,c
fair,fare
right,write
links,lynx
phiz,fizz
timber,timbre
cent,scent
caret,carrot
Paul,pall
rights,rites
sac,sack
scalar,scaler
sheik,shake
meet,meat
metal,mettle
toady,tody
gaht,gat
loan,lone
err,eyre
hail,hale
soot,suit
laps,lapse
protean,protein
doughs,doze
t's,teas
roll,role
tach,tack
mourn,morn
puer,pure
razed,raised
ought,aught
wrack,rack
wined,wind
nit,knit
kneed,knead
aire,heir
treys,trays
tule,tool
cashes,caches
corps,core
levies,levees
fellow,felloe
gaze,Gay's
p's,peas
gneiss,nice
choler,collar
borne,bourn
equivalence,equivalents
purr,per
fax,facts
j,jay
cheap,cheep
gopher,gofer
yew,u
holy,holey
pressor,presser
are,eyre
marquee,marquis
sown,sewn
Fay's,phase
doze,doughs
cant,can't
crepe,crape
poring,pouring
pie,pi
piqued,peaked
bare,bear
wicker,whicker
pea,p
hour,our
laager,logger
mix,micks
forbear,forebear
lax,lacks
fungus,fungous
pole,poll
rime,rhyme
populous,populace
do,dew
why,y
wares,wears
Ayr,heir
torcher,torture
cadi,caddie
sac,sacque
feint,faint
heeled,heald
where,weir
phase,fays
marshal,martial
benzene,benzine
waive,wave
chilly,Chile
collared,collard
sensor,censer
hied,hide
serf,surf
in,inn
on,awn
bough,bow
limn,limb
calk,caulk
toon,tune
jamb,jam
epic,epoch
dear,deer
nob,knob
dew,do
