stem,word
conglob,conglobed
dissent,dissented
estrang,estranged
wad,wadding
inciner,incinerates
diaphragm,diaphragms
jet,jetting
disc,discs
protect,protecting
verg,verge
thicken,thickened
paraphras,paraphrased
traips,traipse
caw,caws
vice,vices
concili,conciliates
sear,sears
yard,yarded
radiat,radiates
jitterbug,jitterbugs
polem,polemized
fax,faxes
program,programing
ostracis,ostracise
garott,garottes
glitz,glitzed
camouflag,camouflaging
duck,ducking
agniz,agnizes
chase,chased
thumbtack,thumbtacking
suppur,suppurate
demobil,demobilize
step,stepped
dibbl,dibbles
besieg,besieging
decompos,decompose
jellifi,jellifying
lasso,lassoing
ground,grounds
sidetrack,sidetracking
profit,profiteers
farewel,farewelled
bulk,bulks
abandon,abandoned
chip,chipped
chang,changed
huzza,huzzas
misbor,misbore
mugger,muggering
pedicur,pedicures
shirk,shirks
backgammon,backgammoned
undul,undulated
dehuman,dehumanize
claw,clawed
satur,saturate
dissatisfi,dissatisfies
rut,rutted
glimmer,glimmering
rankl,rankles
unbalanc,unbalancing
billboard,billboards
bobsled,bobsledding
board,boards
blush,blushing
balkan,balkanizing
confect,confected
dissembl,dissembled
baptiz,baptized
readi,readies
squabbl,squabbling
till,tills
troat,troated
busi,busy
harangu,haranguing
untun,untuning
surmis,surmising
kill,killed
untangl,untangling
reoccur,reoccurred
irrit,irritate
grill,grilling
comminut,comminuting
elastic,elasticizes
banter,banters
knife,knifing
afforest,afforests
disarm,disarming
befoul,befouled
proselyt,proselyte
palav,palaver
feder,federating
capitul,capitulating
insemin,inseminating
assuag,assuage
dozen,dozened
spot,spotting
hilltop,hilltopped
pioneer,pioneered
affix,affixes
unravel,unravelled
piti,pitying
presuppos,presupposes
approb,approbating
barbar,barbarize
celebr,celebrate
sigh,sighed
upbraid,upbraiding
cowhid,cowhiding
strangl,strangling
canal,canaled
attorn,attorned
farm,farms
rustic,rusticated
rescind,rescinds
jelli,jellies
guzzl,guzzle
rogu,rogueing
mister,mistered
sluic,sluicing
veil,veils
drone,drones
rustic,rusticating
bruis,bruising
reincorpor,reincorporates
water,watering
blat,blatting
transfix,transfixing
misadvis,misadvises
reloc,relocate
fluorid,fluoridize
rehous,rehouse
versifi,versified
knot,knots
nestl,nestle
pickax,pickaxes
avail,availed
self,selfed
portray,portrayed
fundrais,fundraise
ghost,ghosted
final,finalized
catalog,cataloged
prolog,prologs
twing,twinged
syphon,syphoning
defac,defaces
outsail,outsailing
tith,tithed
blanket,blanketing
fast,fasted
dingdong,dingdonged
lazi,lazy
overh,overheating
overstock,overstocks
exterior,exteriorized
fabric,fabricate
rootl,rootling
fratern,fraternize
loiter,loitered
deput,depute
chamber,chambered
tutor,tutors
fratern,fraternizing
