stem,word
palisad,palisaded
gormandis,gormandised
hive,hiving
network,networked
whine,whined
react,reacts
catabol,catabolizing
manacl,manacles
conced,concedes
piddl,piddled
water,watering
henpeck,henpecks
instanc,instanced
tampon,tampons
recap,recapping
chivi,chivy
extravas,extravasated
probat,probates
out,outed
tug,tugs
mastermind,masterminded
pulver,pulverizing
sock,socks
bed,beds
brain,brained
fillet,filleting
chanc,chanced
chopper,choppering
dung,dungs
alli,allying
jackknif,jackknifes
paus,pausing
enur,enured
local,localled
helm,helmed
bedamn,bedamned
detour,detouring
axe,axed
acquit,acquitting
foretel,foretelling
offload,offloaded
outplay,outplays
nourish,nourishing
chunk,chunked
hoover,hoovers
overaw,overawing
diphthong,diphthongize
glitz,glitzed
disagre,disagreeing
subscrib,subscribe
rarifi,rarify
flit,flitting
bug,bugs
puf,puffed
acclim,acclimating
slouch,slouched
incumb,incumbered
miss,misses
relaps,relapses
funnel,funnels
interced,interceding
waver,wavered
reinsur,reinsures
induc,induces
knife,knifes
belay,belays
separ,separated
proselyt,proselytes
umber,umbered
steamrol,steamroller
cart,carting
warranti,warrantying
surpluss,surplussing
reed,reeded
neck,necked
finess,finesse
yese,yeses
leagu,leagued
exagger,exaggerating
booz,boozing
rustl,rustled
divin,divined
disavow,disavows
windmil,windmilled
indic,indicate
lateral,lateralling
reprehend,reprehends
stream,streaming
calcul,calculates
twiddl,twiddles
jig,jigged
hulk,hulking
mark,marks
sign,signing
degrad,degrading
mope,moping
silt,silting
hitchhik,hitchhiking
alli,allied
prosecut,prosecuting
boodl,boodle
suppos,suppose
stevedor,stevedored
commune,communing
reembark,reembarking
warranti,warranty
blaze,blazed
misgaug,misgauged
garott,garotte
backtrack,backtracks
remand,remanded
undertak,undertakes
flameproof,flameproofs
ripsaw,ripsawed
capitul,capitulate
splice,splicing
demis,demise
niggl,niggles
lighten,lightening
pencil,penciling
secular,secularizes
mate,mated
fluoroscop,fluoroscope
pastor,pastors
joint,jointing
stopper,stoppers
unifi,unifying
chivi,chivies
ace,acing
seduc,seduced
jellifi,jellifying
retouch,retouched
achromatis,achromatise
sight,sighted
anim,animalizing
misrememb,misremember
degrad,degraded
usher,ushers
lichen,lichens
metric,metricize
gestur,gestured
iodiz,iodize
impact,impacting
rubifi,rubify
preordain,preordains
sheer,sheering
recommend,recommends
carton,cartoning
aerifi,aerifying
coagul,coagulated
breech,breeches
champ,champed
arterialis,arterialised
ticktock,ticktocking
cylind,cylinders
uncross,uncrossed
retransl,retranslated
snag,snagging
twing,twinge
rabbet,rabbeting
jockey,jockeys
venom,venoming
anod,anodizes
mitig,mitigated
maxim,maximize
lantern,lanterned
halo,haloing
stroke,strokes
collid,collide
damascen,damascened
spiral,spiraling
exit,exited
weld,welded
bung,bunged
unlimb,unlimber
wish,wishing
redact,redacts
reupholst,reupholster
backstrok,backstroke
privat,privatize
clu,cluing
articul,articulated
stare,staring
shift,shifting
sediment,sediments
amalgam,amalgamate
declaim,declaimed
miscu,miscuing
waken,wakens
lever,levers
fecund,fecundated
murmur,murmuring
scabbard,scabbards
misaddress,misaddressed
ding,dinge
moonlight,moonlights
redetermin,redetermine
pother,pothered
tinctur,tinctures
bedizen,bedizens
plane,planes
prim,prims
ricochet,ricochetting
inweav,inweave
diaphragm,diaphragms
embezzl,embezzles
commend,commending
content,contented
brew,brewed
umpir,umpiring
shred,shreds
croak,croaks
vowel,vowelize
disarrang,disarrange
bedight,bedighted
unbelt,unbelts
bacteris,bacterises
reinocul,reinoculate
remonstr,remonstrated
bow,bows
plug,plugs
extermin,exterminates
unhook,unhooked
bundl,bundling
extric,extricating
lodg,lodged
deleg,delegated
price,prices
scorch,scorched
misdemean,misdemeans
outrang,outranges
snivel,snivels
brutalis,brutalises
heap,heaping
doubt,doubting
stopper,stoppering
overproduc,overproduce
nibbl,nibble
effervesc,effervesces
displum,displumes
xerox,xeroxing
stori,stories
palav,palavered
muffl,muffled
matur,maturated
materi,materialize
intermit,intermitted
abbrevi,abbreviate
photocopi,photocopying
embezzl,embezzled
befoul,befouling
pockmark,pockmarked
buoy,buoying
queri,queries
discontinu,discontinue
reckon,reckons
crutch,crutching
attaint,attaints
siev,sieved
launder,laundered
dude,duding
vapor,vaporing
program,programming
iodis,iodising
pertain,pertaining
bowl,bowling
marinad,marinades
clinch,clinched
collag,collage
improv,improved
breathalys,breathalyse
rumpl,rumples
chevi,chevy
decoct,decocted
traduc,traduced
pomad,pomade
ballot,balloted
glamour,glamourizes
rant,ranted
repaint,repainted
dusk,dusked
disk,disked
gap,gapping
post,posts
quizz,quizzes
misspel,misspell
stymi,stymying
dialog,dialogs
retrac,retrace
sonnet,sonnets
hymn,hymns
blasphem,blasphemed
saponifi,saponified
upend,upended
dangl,dangles
kit,kitted
guid,guiding
rare,rares
mute,muting
survey,surveying
ravag,ravaged
chanc,chancing
shortchang,shortchanges
silhouet,silhouetted
splat,splatted
furl,furled
adjudg,adjudging
tog,togging
lope,loping
prefix,prefixing
grill,grills
reformul,reformulate
brood,brooded
tune,tunes
syncret,syncretize
repeal,repealed
prorat,prorate
subject,subjects
steep,steeps
appoint,appointing
strangul,strangulate
mesh,meshes
skyjack,skyjacks
decamp,decamping
recov,recovered
hovel,hovelling
peptiz,peptizing
forc,force
