error,correct
tweeti,tweet
accout,account
werking,working
kidd,kids
wnted,wanted
handss,hands
vooice,voice
forgrt,forget
remail,email
normail,normal
kause,cause
straght,straight
tratment,treatment
icant,cant
iphonei,iphone
tols,told
commertial,commercial
excitied,excited
dhat,that
refue,refuse
goinn,going
wantr,want
quakery,quackery
whatching,watching
enspired,inspired
unpdates,updates
daignosed,diagnosed
frunt,front
mounths,months
acually,actually
develpo,develop
yall,call
calcultor,calculator
majoirty,majority
dorking,working
tryign,trying
invivte,invite
preson,person
maje,make
tory,story
tryint,trying
meany,many
manga,mania
leftt,left
shxt,shot
teathering,tethering
bpought,bought
workds,works
sich,sick
blackblerry,blackberry
differrnt,different
wittering,twittering
aple,apple
thatnks,thanks
futre,future
spirts,sports
adoby,adobe
falking,talking
sitn,site
stomuch,stomach
queston,question
righty,right
qoin,goin
stipidest,stupidest
dork,work
tite,time
downloadn,download
deosnt,doesnt
abouyt,about
annivesary,anniversary
seasnal,seasonal
enews,news
neveer,never
suckz,sucks
irock,rock
evre,ever
devided,decided
cound,could
interestng,interesting
posibility,possibility
ckeck,check
surpose,suppose
borad,bored
lepoard,leopard
dryll,drill
wuts,cuts
bern,been
ihate,hate
hooper,hopper
tecnology,technology
beingg,being
kina,kind
thar,that
anyoen,anyone
hopr,hope
becaues,because
wokee,woke
dhey,they
therma,thera
craap,crap
mexicab,mexican
ddnt,dont
keywrod,keyword
frpom,from
wory,work
launcht,launch
gettins,getting
trandsmap,trendsmap
beofre,before
jusrt,just
whatz,whats
sellling,selling
havig,having
avalable,available
rockk,rock
qame,game
comonly,commonly
catchinn,catching
homwe,home
recoverying,recovering
carres,cares
sceen,screen
coment,comment
musrt,must
xclusive,exclusive
donkt,dont
asknig,asking
givien,given
fordward,forward
thngs,things
lookk,look
vaccfine,vaccine
stor,star
hgappens,happens
acommercial,commercial
waev,wave
mnth,month
starbukcs,starbucks
batroom,bathroom
upgade,upgrade
looing,looking
fxcking,fucking
pregant,pregnant
fnding,finding
outbreat,outbreak
conctract,contract
fcebook,facebook
wsnt,want
fwel,feel
ewant,want
seriosly,seriously
lookn,looks
shoild,should
reseult,result
